name,website,place_id,city,state
"Decorative Concrete Coatings LLC","http://decorativeconcretecoatings.co/","ChIJB_dCzZq8yGwRozqkLjYC9gg","Minneapolis","MN"
"Md Concrete + Epoxy","https://mdconcrete.net/","ChIJ9bgIKCRI9ocRx5fMUFYvX64","Minneapolis","MN"
"ACT Restoration Inc.","https://www.actrestoration.com/","ChIJvzhACMU5s1IR2t1rRx-EEFI","Minneapolis","MN"
"Advantage Coating","https://www.advantagecoating.com/","ChIJXXvGaE0F9ocRumfzEKw6h5c","Minneapolis","MN"
"Dani Mar Concrete & Epoxy","http://www.danimarconcrete.com/","ChIJFepmJfnLslIRRaSY9EHzJJ4","Minneapolis","MN"
"Philadelphia Epoxy Flooring","https://epoxyflooringphiladelphia.com/?utm_campaign=gmb","ChIJv0Vs--DFxokRgSWVZBsFfOM","Philadelphia","PA"
"Epoxy Floor Experts","https://epoxyfloorexperts.com/","ChIJk_RZw4HlxYkR6V6BFdXxmrM","Philadelphia","PA"
"Bull Custom Coatings","https://bullcustomcoatings.com/","ChIJHwYQmnFNwYkRkkGdxUfV9TA","Philadelphia","PA"
"East Coast Floor Coatings - Epoxy Flooring","https://eastcoastfloorcoatings.com/","ChIJdbd-OEYswYkR2v6iaEn510E","Philadelphia","PA"
"A & B Epoxy LLC","http://aandbepoxy.com/","ChIJVVVBXcjlxokRJ6jeMYtmf2M","Philadelphia","PA"
"Concept In Concrete Inc","https://www.philadelphiaconcretefloor.com/","ChIJr8TUUhROwYkR7UnIgOMYT-E","Philadelphia","PA"
"Grasso Services","https://grassoservices.net/","ChIJBSFENC-pxokRWz07VpHFaIY","Philadelphia","PA"
"Prestige Concrete Contractors","https://prestigeconcreteservices.com/","ChIJr5XS7ZC3xokRGzOijqM8x_s","Philadelphia","PA"
"The Concrete Protector of Philadelphia","http://www.theconcreteprotectorofphiladelphia.com/","ChIJf3u9hgfBxokRvogg-4ijtp4","Philadelphia","PA"
"Marcello Family Cement Work","http://allcementwork.com/?utm_source=gbp","ChIJ5wmNeKe2xokR5YfAw9y_txo","Philadelphia","PA"
"Epoxy Co.","https://www.epoxyco.us/","ChIJxXKdmsNnXIYRdMy3A-nTo6A","San Antonio","TX"
"Diamond Topcoat Polished Concrete & Epoxy","http://www.diamondtopcoat.com/","ChIJYaV5kgyyF48R5TSsdZ6LSWA","San Antonio","TX"
"CTF Luxury Coatings","https://ctfluxurycoatings.com/","ChIJha_0NABfXIYR5luw_wJ5Lzs","San Antonio","TX"
"Deluxe Garages","https://deluxegarages.com/","ChIJj7qEtRalXIYR0EJNzQzyYeA","San Antonio","TX"
